countyfips,year,month,day,i305
13241,2015,7,15,66.22756293
13243,2015,7,15,79.77282
13245,2015,7,15,72.04983058
13247,2015,7,15,69.77711452
13249,2015,7,15,69.46850091
13025,2015,7,15,66.76448432
13251,2015,7,15,65.28905801
13253,2015,7,15,80.07431354
13255,2015,7,15,64.7979282
13257,2015,7,15,69.69382842
13259,2015,7,15,72.521553
13261,2015,7,15,67.67429501
13263,2015,7,15,75.90366314
13265,2015,7,15,70.075218
13267,2015,7,15,72.98752184
13269,2015,7,15,72.57390489
13027,2015,7,15,50.80304434
13271,2015,7,15,71.86894357
13273,2015,7,15,79.6598771
13275,2015,7,15,55.27905428
13277,2015,7,15,77.26084895
13279,2015,7,15,68.93718613
13281,2015,7,15,63.88905952
13283,2015,7,15,71.30088943
13285,2015,7,15,73.80692918
13287,2015,7,15,67.179245
13289,2015,7,15,71.94046467
13029,2015,7,15,75.81625368
13291,2015,7,15,58.5039409
13293,2015,7,15,67.51553149
13295,2015,7,15,71.68637022
13297,2015,7,15,67.5411124
13299,2015,7,15,60.8217834
13003,2015,7,15,68.28613828
13301,2015,7,15,66.82487556
13303,2015,7,15,71.64366888
13305,2015,7,15,71.75884438
13307,2015,7,15,75.69937127
13309,2015,7,15,73.11011055
13031,2015,7,15,58.46077027
13311,2015,7,15,67.6975197
13313,2015,7,15,71.9048846
13315,2015,7,15,56.18695926
13317,2015,7,15,72.17666828
13319,2015,7,15,70.95298354
13321,2015,7,15,75.10025214
13033,2015,7,15,65.89286575
13035,2015,7,15,64.478951
13037,2015,7,15,77.690071
13039,2015,7,15,66.16594607
13043,2015,7,15,65.85193572
13045,2015,7,15,68.84663247
13047,2015,7,15,71.45577011
13049,2015,7,15,71.48207164
13005,2015,7,15,77.583336
13051,2015,7,15,73.12705458
13053,2015,7,15,69.95995396
13055,2015,7,15,67.14872073
13057,2015,7,15,68.44659395
13059,2015,7,15,72.1864037
13061,2015,7,15,79.77282
13063,2015,7,15,70.4806258
13065,2015,7,15,51.26672378
13067,2015,7,15,66.95300293
13069,2015,7,15,76.89991017
13007,2015,7,15,79.34626
13071,2015,7,15,66.14838699
13073,2015,7,15,69.17976237
13075,2015,7,15,59.80044676
13077,2015,7,15,74.48090386
13079,2015,7,15,71.0607356
13081,2015,7,15,54.87952691
13083,2015,7,15,71.21613678
13085,2015,7,15,67.49067391
13087,2015,7,15,81.27992332
13089,2015,7,15,67.36795039
13009,2015,7,15,68.62908843
13091,2015,7,15,59.2953949
13093,2015,7,15,59.20650754
13095,2015,7,15,75.94702876
13097,2015,7,15,67.43917045
13099,2015,7,15,78.36501383
16001,2015,7,15,60.25243793
16011,2015,7,15,53.93523961
16013,2015,7,15,53.59327663
16015,2015,7,15,60.968586
16017,2015,7,15,50.53637968
16019,2015,7,15,41.28988695
16021,2015,7,15,45.153866
16023,2015,7,15,23.410189
16025,2015,7,15,61.396202
16027,2015,7,15,60.09825894
16029,2015,7,15,43.60766202
16003,2015,7,15,51.2009641
16031,2015,7,15,63.06996428
16033,2015,7,15,29.549587
16035,2015,7,15,54.98753817
16037,2015,7,15,40.887421
16039,2015,7,15,61.74676528
16041,2015,7,15,48.23550196
16043,2015,7,15,59.11821899
16045,2015,7,15,59.66581477
16047,2015,7,15,62.78796117
16049,2015,7,15,51.55527116
16005,2015,7,15,56.80383533
16051,2015,7,15,52.64762286
16053,2015,7,15,63.30434279
16055,2015,7,15,49.6639235
16057,2015,7,15,53.74342258
16059,2015,7,15,53.30470719
16061,2015,7,15,53.4361121
16063,2015,7,15,62.214005
16065,2015,7,15,57.921299
16067,2015,7,15,62.38075129
16069,2015,7,15,49.18981291
